category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price,copy_number
Home & Kitchen,mobile_app,RO,EUR,customer475@example.com,475,2026-09-01, ORD14243,2026-06-02T13:11:15,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,27.94,1
Books,marketplace,RO,EUR,customer1754@example.com,1754,2026-09-03, ORD14353,2026-03-08T19:05:31,Atomic Habits (RO ed.),1,SKU-BK-001,completed,19.56,1
Sports,web,HU,EUR,customer421@example.com,421,2026-08-23, ORD14918,2026-01-18T19:04:46,Yoga Mat Premium,1,SKU-SP-001,completed,30.5,1
Beauty,web,RO,EUR,customer1265@example.com,1265,2026-08-28, ORD15081,2026-02-17T16:46:43,Vitamin C Serum 30ml,1,SKU-BE-001,completed,27.06,1
Electronics,web,RO,EUR,customer788@example.com,788,2026-08-23, ORD15091,19/05/2026 04:25,Wireless Earbuds X2,3,SKUEL001,completed,79.15,1
Electronics,web,DE,EUR,customer1497@example.com,1497,2026-08-23, ORD15261,25/01/2026 16:57,USB-C Fast Charger 65W,2,SKU-EL-002,completed,33.06,1
Home & Kitchen,web,DE,RON,customer1793@example.com,1793,2026-08-23, ORD15313,1771837885,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,26.62,1
Beauty,web,DE,EUR,customer1338@example.com,1338,2026-08-29, ORD15739,27/05/2026 19:11,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,66.55,1
Books,mobile_app,RO,EUR,customer766@example.com,766,2026-08-25, ORD15845,18/02/2026 02:07,Atomic Habits (RO ed.),3,SKU-BK-001,refunded,19.86,1
Beauty,web,RO,EUR,customer294@example.com,294,2026-08-25,ORD10001,2026-04-12T05:12:21,Vitamin C Serum 30ml,1,SKU-BE-001,completed,26.26,1
Books,web,RO,EUR,customer294@example.com,294,2026-08-25,ORD10001,2026-04-12T05:12:21,Atomic Habits (RO ed.),3,SKU-BK-001,completed,20.22,1
Home & Kitchen,web,RO,EUR,customer294@example.com,294,2026-08-25,ORD10001,2026-04-12T05:12:21,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,28.48,1
Fashion,marketplace,HU,RON,customer1484@example.com,1484,2026-09-03,ORD10002,2026-01-11T00:10:41,Men's Slim Fit Jeans,3,SKU-FA-001,refunded,57.15,1
Home & Kitchen,marketplace,HU,RON,customer1484@example.com,1484,2026-09-03,ORD10002,2026-01-11T00:10:41,Air Fryer 5L,1,SKU-HK-003,refunded,128.69,1
Books,mobile_app,RO,EUR,customer1329@example.com,1329,2026-08-26,ORD10003,2026-02-20T18:57:55,The Pragmatic Programmer,2,SKU-BK-002,completed,42.42,1
Books,mobile_app,RO,EUR,customer1329@example.com,1329,2026-08-26,ORD10003,2026-02-20T18:57:55,The Pragmatic Programmer,2,SKU-BK-002,completed,42.42,2
Fashion,web,RO,EUR,customer1197@example.com,1197,2026-08-31,ORD10004,2026-03-23T02:03:17,Men's Slim Fit Jeans,1,SKU-FA-001,completed,56.7,1
Electronics,mobile_app,RO,EUR,customer1629@example.com,,2026-08-27,ORD10005,28/01/2026 04:15,USB-C Fast Charger 65W,1,SKU-EL-002,completed,36.84,1
Books,web,HU,EUR,customer310@example.com,310,2026-08-25,ORD10006,2026-04-09T04:53:10,The Pragmatic Programmer,1,SKU-BK-002,completed,39.74,1
Electronics,web,RO,EUR,customer1430@example.com,1430,2026-08-25,ORD10007,1780750849,4K Action Camera,1,SKU-EL-004,completed,201.4,1
Fashion,web,RO,EUR,customer1430@example.com,1430,2026-08-25,ORD10007,1780750849,Men's Slim Fit Jeans,1,SKU-FA-001,completed,52.28,1
Electronics,mobile_app,BG,EUR,customer1305@example.com,1305,2026-08-29,ORD10008,2026-02-03T06:42:19,4K Action Camera,2,SKU-EL-004,completed,204.84,1
Home & Kitchen,web,DE,EUR,customer575@example.com,575,2026-08-31,ORD10009,20/04/2026 10:08,Stainless Steel Kettle,2,SKU-HK-001,completed,44.7,1
Sports,web,DE,EUR,customer575@example.com,575,2026-08-31,ORD10009,20/04/2026 10:08,Yoga Mat Premium,1,SKU-SP-001,completed,33.53,1
Fashion,marketplace,RO,EUR,customer156@example.com,156,2026-08-24,ORD10010,30/05/2026 07:49,Women's Wool Coat,2,SKU-FA-002,completed,143.57,1
Beauty,web,RO,EUR,customer605@example.com,605,2026-08-27,ORD10011,2026-05-19T11:19:35,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,65.16,1
Home & Kitchen,web,RO,EUR,customer605@example.com,605,2026-08-27,ORD10011,2026-05-19T11:19:35,Stainless Steel Kettle,1,SKU-HK-001,completed,40.83,1
Sports,marketplace,RO,RON,customer848@example.com,848,2026-08-23,ORD10012,17/01/2026 10:43,Yoga Mat Premium,1,SKU-SP-001,completed,30.52,1
Electronics,marketplace,RO,RON,customer1934@example.com,1934,2026-08-24,ORD10013,2026-05-02T08:52:05,Wireless Earbuds X2,3,SKU-EL-001,completed,77.31,1
Beauty,web,RO,EUR,customer657@example.com,657,2026-08-27,ORD10014,2026-05-16T00:17:49,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,67.36,1
Fashion,web,RO,EUR,customer657@example.com,657,2026-08-27,ORD10014,2026-05-16T00:17:49,Running Shoes Pro,1,SKU-FA-003,completed,89.74,1
Beauty,mobile_app,RO,EUR,customer1678@example.com,1678,2026-08-24,ORD10015,2026-06-04T09:10:52,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,71.09,1
Home & Kitchen,mobile_app,RO,EUR,customer1678@example.com,1678,2026-08-24,ORD10015,2026-06-04T09:10:52,Stainless Steel Kettle,1,SKU-HK-001,completed,40.97,1
Electronics,mobile_app,DE,EUR,customer341@example.com,341,2026-08-28,ORD10016,2026-01-09T14:26:15,Wireless Earbuds X2,1,SKU-EL-001,completed,74.4,1
Electronics,mobile_app,DE,EUR,customer341@example.com,341,2026-08-28,ORD10016,2026-01-09T14:26:15,4K Action Camera,1,SKU-EL-004,completed,178.49,1
Books,web,RO,EUR,customer703@example.com,703,2026-08-30,ORD10017,2026-02-10T04:04:17,Atomic Habits (RO ed.),1,SKU-BK-001,completed,19.19,1
Sports,marketplace,RO,EUR,customer500@example.com,500,2026-08-25,ORD10018,2026-04-18T04:05:18,Yoga Mat Premium,1,SKU-SP-001,completed,29.99,1
Home & Kitchen,web,HU,EUR,customer422@example.com,422,2026-08-24,ORD10019,17/05/2026 15:45,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,26.77,1
Electronics,web,DE,EUR,customer234@example.com,234,2026-09-01,ORD10020,2026-06-14T04:23:54,Bluetooth Speaker Mini,1,SKU-EL-003,completed,47.17,1
Home & Kitchen,web,HU,EUR,customer867@example.com,867,2026-08-30,ORD10021,2026-05-04T09:39:08,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,28.22,1
Fashion,mobile_app,RO,EUR,customer1014@example.com,1014,2026-08-25,ORD10022,2026-04-06T11:36:31,Men's Slim Fit Jeans,1,SKU-FA-001,completed,52.52,1
Books,web,HU,RON,customer234@example.com,234,2026-08-28,ORD10023,16/04/2026 11:03,Atomic Habits (RO ed.),1,SKU-BK-001,completed,21.95,1
Beauty,web,RO,EUR,customer1673@example.com,1673,2026-09-03,ORD10024,1781742765,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,66.43,1
Electronics,web,RO,EUR,customer1223@example.com,1223,2026-08-23,ORD10025,1772655606,4K Action Camera,1,SKU-EL-004,completed,198.45,1
Home & Kitchen,mobile_app,RO,EUR,customer660@example.com,660,2026-08-28,ORD10026,28/05/2026 20:43,Air Fryer 5L,1,SKU-HK-003,completed,107.16,1
Sports,mobile_app,RO,EUR,customer660@example.com,660,2026-08-28,ORD10026,28/05/2026 20:43,Adjustable Dumbbell Set,1,SKU-SP-002,completed,179.68,1
Fashion,web,RO,EUR,customer447@example.com,447,2026-08-28,ORD10027,2026-06-10T04:04:07,Running Shoes Pro,1,SKU-FA-O03,completed,80.92,1
Home & Kitchen,web,RO,EUR,customer447@example.com,447,2026-08-28,ORD10027,2026-06-10T04:04:07,Stainless Steel Kettle,1,SKU-HK-001,completed,40.69,1
Sports,web,RO,EUR,customer447@example.com,447,2026-08-28,ORD10027,2026-06-10T04:04:07,Adjustable Dumbbell Set,1,SKU-SP-002,completed,166.26,1
Books,mobile_app,RO,EUR,customer1343@example.com,1343,2026-08-29,ORD10028,2026-01-19T11:35:17,Atomic Habits (RO ed.),1,SKU-BK-001,completed,20.77,1
Home & Kitchen,web,RO,EUR,customer210@example.com,210,2026-09-03,ORD10029,1773392261,Stainless Steel Kettle,1,SKU-HK-001,completed,43.49,1
Electronics,web,RO,RON,customer1884@example.com,1884,2026-09-03,ORD10030,2026-05-14T07:37:48,4K Action Camera,1,SKU-EL-004,completed,184.62,1
Sports,web,RO,EUR,customer1245@example.com,1245,2026-08-30,ORD10031,2026-05-15T01:51:06,Yoga Mat Premium,1,SKU-SP-001,completed,29.15,1
Books,marketplace,RO,EUR,customer25@example.com,25,2026-08-31,ORD10032,2026-03-03T10:52:10,The Pragmatic Programmer,1,SKU-BK-002,completed,40.19,1
Electronics,marketplace,RO,EUR,customer25@example.com,25,2026-08-31,ORD10032,2026-03-03T10:52:10,USB-C Fast Charger 65W,2,SKU-EL-002,completed,34.75,1
Sports,marketplace,RO,EUR,customer25@example.com,25,2026-08-31,ORD10032,2026-03-03T10:52:10,Yoga Mat Premium,1,SKU-SP-001,completed,33.29,1
Fashion,mobile_app,RO,EUR,customer1734@example.com,1734,2026-08-26,ORD10033,2026-02-17T11:21:29,Running Shoes Pro,1,SKU-FA-O03,completed,92.74,1
Electronics,web,BG,EUR,customer531@example.com,531,2026-09-03,ORD10034,25/01/2026 15:32,Wireless Earbuds X2,1,SKU-EL-001,completed,78.86,1
Electronics,marketplace,BG,EUR,customer342@example.com,342,2026-08-24,ORD10035,19/02/2026 12:55,Wireless Earbuds X2,1,SKU-EL-001,completed,85.8,1
Beauty,mobile_app,BG,EUR,customer1517@example.com,1517,2026-08-25,ORD10036,2026-02-13T14:19:01,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,70.23,1
Electronics,mobile_app,BG,EUR,customer1517@example.com,1517,2026-08-25,ORD10036,2026-02-13T14:19:01,USB-C Fast Charger 65W,2,SKU-EL-002,completed,33.31,1
Electronics,marketplace,DE,RON,customer1212@example.com,1212,2026-08-28,ORD10037,31/05/2026 00:38,4K Action Camera,1,SKU-EL-004,completed,203.95,1
Sports,marketplace,DE,RON,customer1212@example.com,1212,2026-08-28,ORD10037,31/05/2026 00:38,Adjustable Dumbbell Set,1,SKU-SP-002,completed,179.76,1
Electronics,marketplace,DE,RON,customer1212@example.com,1212,2026-08-28,ORD10037,31/05/2026 00:38,Wireless Earbuds X2,1,SKUEL001,completed,87.72,1
Beauty,web,DE,EUR,customer128@example.com,128,2026-08-29,ORD10038,2026-01-26T09:08:41,Vitamin C Serum 30ml,1,SKU-BE-001,completed,23.85,1
Electronics,web,RO,EUR,customer833@example.com,833,2026-08-27,ORD10039,1773236665,4K Action Camera,1,SKU-EL-004,completed,200.63,1
Sports,web,RO,RON,customer1984@example.com,1984,2026-09-01,ORD10040,2026-04-10T16:53:43,Yoga Mat Premium,2,SKU-SP-001,completed,32.36,1
Electronics,web,HU,EUR,customer456@example.com,456,2026-08-26,ORD10041,2026-06-09T22:35:46,Bluetooth Speaker Mini,1,SKU-EL-003,completed,44.73,1
Home & Kitchen,mobile_app,RO,EUR,customer945@example.com,945,2026-08-25,ORD10042,2026-06-29T10:45:57,Non-stick Frying Pan 28cm,1,SKU-HK-002,refunded,30.83,1
Fashion,web,RO,EUR,customer1022@example.com,1022,2026-08-24,ORD10043,2026-04-17T22:23:42,Men's Slim Fit Jeans,1,SKU-FA-001,completed,58.32,1
Fashion,web,HU,EUR,customer1029@example.com,1029,2026-09-03,ORD10044,2026-02-22T12:19:17,Women's Wool Coat,1,SKU-FA-002,completed,159.25,1
Beauty,web,HU,EUR,customer1672@example.com,1672,2026-09-03,ORD10045,2026-05-24T02:56:57,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,69.49,1
Books,web,HU,EUR,customer1672@example.com,1672,2026-09-03,ORD10045,2026-05-24T02:56:57,Atomic Habits (RO ed.),3,SKU-BK-001,completed,20.24,1
Home & Kitchen,marketplace,RO,EUR,customer185@example.com,185,2026-08-26,ORD10046,2026-04-27T19:57:06,Air Fryer 5L,2,SKU-HK-003,refunded,115.21,1
Electronics,web,RO,EUR,customer228@example.com,228,2026-08-23,ORD10047,2026-06-17T03:00:37,4K Action Camera,1,SKU-EL-004,completed,175.26,1
Home & Kitchen,web,RO,EUR,customer228@example.com,228,2026-08-23,ORD10047,2026-06-17T03:00:37,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,30.94,1
Electronics,mobile_app,DE,EUR,customer1493@example.com,1493,2026-08-23,ORD10048,1779003347,USB-C Fast Charger 65W,1,SKU-EL-002,completed,33.25,1
Beauty,web,DE,EUR,customer711@example.com,,2026-09-02,ORD10049,02/02/2026 14:24,Vitamin C Serum 30ml,1,SKU-BE-001,completed,23.74,1
Electronics,web,DE,EUR,customer711@example.com,711,2026-09-02,ORD10049,02/02/2026 14:24,Wireless Earbuds X2,1,SKU-EL-001,completed,73.17,1
Fashion,web,DE,EUR,customer711@example.com,711,2026-09-02,ORD10049,02/02/2026 14:24,Men's Slim Fit Jeans,2,SKU-FA-001,completed,54.92,1
Fashion,marketplace,RO,EUR,customer1121@example.com,1121,2026-08-27,ORD10050,2026-01-19T01:53:57,Running Shoes Pro,1,SKU-FA-003,completed,81.8,1
Home & Kitchen,marketplace,RO,EUR,customer1121@example.com,1121,2026-08-27,ORD10050,2026-01-19T01:53:57,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,26.23,1
Home & Kitchen,marketplace,RO,EUR,customer1121@example.com,1121,2026-08-27,ORD10050,2026-01-19T01:53:57,Air Fryer 5L,1,SKU-HK-003,completed,107.71,1
Books,mobile_app,RO,RON,customer187@example.com,187,2026-09-03,ORD10051,2026-03-17T06:00:26,Atomic Habits (RO ed.),1,SKU-BK-001,completed,21.34,1
Fashion,mobile_app,RO,RON,customer187@example.com,187,2026-09-03,ORD10051,2026-03-17T06:00:26,Men's Slim Fit Jeans,2,SKU-FA-001,completed,52,1
Home & Kitchen,web,HU,EUR,customer483@example.com,483,2026-08-30,ORD10052,2026-01-16T07:57:25,Stainless Steel Kettle,1,SKU-HK-001,completed,44.16,1
Electronics,marketplace,RO,EUR,customer892@example.com,892,2026-08-24,ORD10053,09/06/2026 17:25,Bluetooth Speaker Mini,1,SKU-EL-003,completed,49.55,1
Electronics,marketplace,HU,EUR,customer1601@example.com,1601,2026-08-31,ORD10054,2026-03-22T11:26:29,4K Action Camera,3,SKU-EL-004,completed,191.37,1
Electronics,web,HU,EUR,customer1248@example.com,1248,2026-08-29,ORD10055,2026-02-03T10:30:32,USB-C Fast Charger 65W,1,SKU-EL-002,completed,37.11,1
Books,web,DE,EUR,customer637@example.com,637,2026-08-28,ORD10056,1775473601,Atomic Habits (RO ed.),2,SKU-BK-001,completed,19.27,1
Home & Kitchen,web,RO,EUR,customer1058@example.com,1058,2026-09-01,ORD10057,2026-06-09T10:13:06,Stainless Steel Kettle,2,SKU-HK-001,completed,45.19,1
Sports,web,RO,EUR,customer1058@example.com,1058,2026-09-01,ORD10057,2026-06-09T10:13:06,Yoga Mat Premium,2,SKU-SP-001,completed,30.55,1
Electronics,web,RO,EUR,customer364@example.com,364,2026-09-03,ORD10058,2026-04-03T03:42:49,Wireless Earbuds X2,2,SKU-EL-001,completed,76.88,1
Electronics,web,RO,EUR,customer364@example.com,364,2026-09-03,ORD10058,2026-04-03T03:42:49,Bluetooth Speaker Mini,1,SKU-EL-003,completed,45.7,1
Home & Kitchen,web,RO,EUR,customer364@example.com,364,2026-09-03,ORD10058,2026-04-03T03:42:49,Stainless Steel Kettle,1,SKU-HK-001,completed,44.35,1
Home & Kitchen,web,RO,EUR,customer364@example.com,364,2026-09-03,ORD10058,2026-04-03T03:42:49,Stainless Steel Kettle,1,SKU-HK-001,completed,44.35,2
Fashion,marketplace,BG,EUR,customer1689@example.com,1689,2026-08-24,ORD10059,2026-04-24T11:54:27,Running Shoes Pro,1,SKU-FA-003,completed,89.57,1
Home & Kitchen,marketplace,BG,EUR,customer1689@example.com,1689,2026-08-24,ORD10059,2026-04-24T11:54:27,Stainless Steel Kettle,1,SKU-HK-001,completed,39.82,1
Beauty,mobile_app,RO,EUR,customer1019@example.com,1019,2026-08-29,ORD10060,1771578050,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,61.4,1
Home & Kitchen,mobile_app,RO,EUR,customer1019@example.com,1019,2026-08-29,ORD10060,1771578050,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,28.33,1
Home & Kitchen,mobile_app,RO,EUR,customer1019@example.com,1019,2026-08-29,ORD10060,1771578050,Air Fryer 5L,2,SKU-HK-003,completed,123.43,1
Electronics,marketplace,RO,RON,customer110@example.com,110,2026-08-30,ORD10061,2026-04-24T07:39:17,4K Action Camera,1,SKU-EL-004,completed,190.13,1
Sports,marketplace,RO,RON,customer110@example.com,110,2026-08-30,ORD10061,2026-04-24T07:39:17,Adjustable Dumbbell Set,3,SKU-SP-002,completed,162.51,1
Electronics,marketplace,DE,EUR,customer926@example.com,,2026-08-29,ORD10062,28/05/2026 19:25,Bluetooth Speaker Mini,1,SKU-EL-003,completed,48.35,1
Fashion,web,BG,EUR,customer1827@example.com,1827,2026-09-03,ORD10063,2026-06-11T19:07:37,Men's Slim Fit Jeans,1,SKU-FA-001,refunded,53.29,1
Beauty,web,RO,EUR,customer596@example.com,596,2026-08-30,ORD10064,2026-04-12T00:43:11,Vitamin C Serum 30ml,3,SKU-BE-001,completed,24.94,1
,web,RO,EUR,customer433@example.com,433,2026-08-23,ORD10065,2026-04-25T12:10:04,Atomic Habits (RO ed.),1,SKU-BK-001,completed,18.49,1
Sports,web,RO,EUR,customer433@example.com,433,2026-08-23,ORD10065,2026-04-25T12:10:04,Yoga Mat Premium,1,SKU-SP-001,completed,33.74,1
Electronics,mobile_app,DE,EUR,customer1066@example.com,1066,2026-08-23,ORD10066,28/04/2026 14:27,4K Action Camera,1,SKU-EL-004,completed,199.76,1
Electronics,mobile_app,RO,RON,customer329@example.com,329,2026-09-03,ORD10067,1775553050,Bluetooth Speaker Mini,3,SKU-EL-003,completed,52.29,1
Fashion,web,RO,EUR,customer474@example.com,,2026-09-01,ORD10068,2026-02-27T11:33:48,Running Shoes Pro,1,SKU-FA-003,completed,93.08,1
Sports,web,RO,RON,customer1832@example.com,1832,2026-08-23,ORD10069,2026-05-01T17:49:50,Yoga Mat Premium,1,SKU-SP-001,completed,31.72,1
Books,mobile_app,HU,EUR,customer1488@example.com,1488,2026-08-25,ORD10070,2026-06-13T22:57:19,Atomic Habits (RO ed.),1,SKU-BK-001,completed,19.51,1
Beauty,web,BG,EUR,customer232@example.com,232,2026-08-29,ORD10071,2026-03-27T13:45:15,Vitamin C Serum 30ml,1,SKU-BE-001,completed,26.62,1
Fashion,web,BG,EUR,customer232@example.com,232,2026-08-29,ORD10071,2026-03-27T13:45:15,Men's Slim Fit Jeans,2,SKU-FA-001,completed,55.21,1
Sports,web,RO,EUR,customer339@example.com,339,2026-08-23,ORD10072,2026-04-06T11:14:44,Yoga Mat Premium,1,SKU-SP-001,completed,30.3,1
Fashion,marketplace,HU,RON,customer1339@example.com,1339,2026-08-24,ORD10073,2026-03-20T08:09:54,Running Shoes Pro,2,SKU-FA-003,refunded,91.02,1
Electronics,web,BG,RON,customer1572@example.com,1572,2026-08-26,ORD10074,02/04/2026 20:57,Wireless Earbuds X2,2,SKU-EL-001,completed,83.53,1
Fashion,web,BG,RON,customer1572@example.com,1572,2026-08-26,ORD10074,02/04/2026 20:57,Men's Slim Fit Jeans,1,SKU-FA-001,completed,58.63,1
Fashion,marketplace,RO,EUR,customer221@example.com,221,2026-08-25,ORD10075,1768005746,Men's Slim Fit Jeans,1,SKU-FA-001,completed,58.47,1
Home & Kitchen,marketplace,RO,EUR,customer221@example.com,221,2026-08-25,ORD10075,1768005746,Stainless Steel Kettle,1,SKU-HK-001,completed,43.98,1
Fashion,web,RO,RON,customer1419@example.com,1419,2026-08-23,ORD10076,2026-02-23T03:02:57,Running Shoes Pro,1,SKU-FA-003,completed,86.13,1
Sports,web,RO,RON,customer1419@example.com,1419,2026-08-23,ORD10076,2026-02-23T03:02:57,Adjustable Dumbbell Set,2,SKU-SP-002,completed,183.69,1
Books,marketplace,BG,EUR,customer237@example.com,237,2026-08-23,ORD10077,2026-04-20T04:24:56,Atomic Habits (RO ed.),1,SKU-BK-001,completed,21.35,1
Fashion,marketplace,BG,EUR,customer237@example.com,237,2026-08-23,ORD10077,2026-04-20T04:24:56,Running Shoes Pro,2,SKU-FA-003,completed,95.44,1
Fashion,marketplace,RO,EUR,customer1515@example.com,1515,2026-09-03,ORD10078,13/02/2026 13:20,Running Shoes Pro,1,SKU-FA-003,completed,81.75,1
Home & Kitchen,web,BG,EUR,customer1780@example.com,1780,2026-08-29,ORD10079,2026-06-18T23:02:39,Air Fryer 5L,2,SKU-HK-003,completed,111.71,1
Sports,web,BG,EUR,customer1780@example.com,1780,2026-08-29,ORD10079,2026-06-18T23:02:39,Yoga Mat Premium,1,SKU-SP-001,completed,29.83,1
Beauty,web,RO,EUR,customer1585@example.com,1585,2026-08-30,ORD10080,30/04/2026 12:56,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,67.2,1
Electronics,web,RO,EUR,customer1585@example.com,1585,2026-08-30,ORD10080,30/04/2026 12:56,Bluetooth Speaker Mini,1,SKU-EL-003,completed,46.26,1
Sports,web,RO,EUR,customer1585@example.com,1585,2026-08-30,ORD10080,30/04/2026 12:56,Yoga Mat Premium,1,SKU-SP-001,completed,30.92,1
Beauty,marketplace,BG,EUR,customer1876@example.com,1876,2026-08-27,ORD10081,2026-01-23T00:21:40,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,64.29,1
Fashion,marketplace,BG,EUR,customer1876@example.com,1876,2026-08-27,ORD10081,2026-01-23T00:21:40,Women's Wool Coat,1,SKU-FA-002,completed,130.71,1
Beauty,web,BG,RON,customer1440@example.com,1440,2026-09-01,ORD10082,24/05/2026 23:03,Vitamin C Serum 30ml,1,SKU-BE-001,completed,22.76,1
Electronics,web,BG,RON,customer1440@example.com,1440,2026-09-01,ORD10082,24/05/2026 23:03,Wireless Earbuds X2,1,SKU-EL-001,completed,72.26,1
Books,web,HU,EUR,customer1901@example.com,1901,2026-08-28,ORD10083,26/02/2026 06:44,Atomic Habits (RO ed.),1,SKU-BK-001,completed,21.28,1
Electronics,web,RO,EUR,customer1299@example.com,1299,2026-08-25,ORD10084,1778588624,4K Action Camera,1,SKU-EL-004,completed,191.75,1
Electronics,web,RO,EUR,customer1855@example.com,1855,2026-09-01,ORD10085,2026-04-10T12:40:07,Bluetooth Speaker Mini,1,SKU-EL-003,completed,46.03,1
Electronics,web,RO,EUR,customer1855@example.com,1855,2026-09-01,ORD10085,2026-04-10T12:40:07,4K Action Camera,1,SKU-EL-004,completed,191.54,1
Beauty,web,BG,EUR,customer397@example.com,397,2026-08-31,ORD10086,2026-03-29T12:09:44,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,70.96,1
Electronics,mobile_app,RO,EUR,internal.tester1392@aqurate.ai,1392,2026-08-24,ORD10087,2026-06-20T11:14:40,Bluetooth Speaker Mini,2,SKU-EL-003,test,52.84,1
Electronics,mobile_app,RO,EUR,internal.tester1392@aqurate.ai,1392,2026-08-24,ORD10087,2026-06-20T11:14:40,4K Action Camera,1,SKU-EL-004,test,173.2,1
Sports,marketplace,RO,RON,customer76@example.com,76,2026-08-30,ORD10088,1776343502,Yoga Mat Premium,1,SKU-SP-001,completed,33.74,1
Beauty,marketplace,RO,RON,customer1737@example.com,1737,2026-08-31,ORD10089,30/04/2026 05:36,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,64.61,1
Books,marketplace,RO,RON,customer1737@example.com,1737,2026-08-31,ORD10089,30/04/2026 05:36,Atomic Habits (RO ed.),2,SKU-BK-001,completed,19.04,1
Home & Kitchen,marketplace,RO,RON,customer1737@example.com,1737,2026-08-31,ORD10089,30/04/2026 05:36,Stainless Steel Kettle,1,SKU-HK-001,completed,40.81,1
Books,web,DE,EUR,customer771@example.com,771,2026-08-30,ORD10090,2026-02-13T06:47:08,Atomic Habits (RO ed.),2,SKU-BK-001,completed,20.63,1
Books,web,DE,EUR,customer771@example.com,771,2026-08-30,ORD10090,2026-02-13T06:47:08,The Pragmatic Programmer,1,SKU-BK-002,completed,47.36,1
Fashion,web,DE,EUR,customer771@example.com,771,2026-08-30,ORD10090,2026-02-13T06:47:08,Running Shoes Pro,1,SKU-FA-003,completed,85.29,1
Electronics,web,BG,EUR,customer1059@example.com,1059,2026-09-02,ORD10091,1777281150,Bluetooth Speaker Mini,1,SKU-EL-003,completed,48.72,1
Electronics,web,BG,EUR,customer1059@example.com,1059,2026-09-02,ORD10091,1777281150,4K Action Camera,1,SKU-EL-004,completed,176.44,1
Fashion,web,BG,EUR,customer1059@example.com,1059,2026-09-02,ORD10091,1777281150,Men's Slim Fit Jeans,1,SKU-FA-001,completed,59.5,1
Sports,web,HU,RON,customer1089@example.com,1089,2026-08-26,ORD10092,2026-01-23T19:39:58,Adjustable Dumbbell Set,1,SKU-SP-002,completed,170.46,1
