category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price,reject_reason
ORD10682,1386,customer1386@example.com,2026-01-07T18:30:08,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,30.3,EUR,RO,2026-09-02,duplicate row
ORD10697,90,customer90@example.com,2026-04-06T14:20:36,completed,mobile_app,SKU-BK-001,Atomic Habits (RO ed.),Books,3,20.48,RON,BG,2026-08-24,duplicate row
ORD10697,90,customer90@example.com,2026-04-06T14:20:36,completed,mobile_app,SKU-EL-002,USB-C Fast Charger 65W,Electronics,2,35.12,RON,BG,2026-08-24,duplicate row
ORD10702,730,customer730@example.com,04/05/2026 17:35,completed,marketplace,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,59.25,EUR,HU,2026-08-26,duplicate row
ORD10740,1194,customer1194@example.com,2026-02-22T08:28:03,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,2,48.15,EUR,RO,2026-08-23,duplicate row
ORD10757,172,customer172@example.com,2026-01-30T11:37:32,completed,web,SKU-EL-004,4K Action Camera,Electronics,2,190.45,EUR,DE,2026-08-27,duplicate row
ORD10764,1510,customer1510@example.com,2026-06-16T05:53:37,completed,mobile_app,SKU-EL-001,Wireless Earbuds X2,Electronics,3,79.71,EUR,RO,2026-08-26,duplicate row
ORD10807,304,customer304@example.com,1773253311,completed,web,SKU-EL-001,Wireless Earbuds X2,Electronics,1,78.02,RON,RO,2026-08-24,duplicate row
ORD10808,1163,customer1163@example.com,2026-05-02T21:38:46,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,2,20.68,EUR,RO,2026-08-24,duplicate row
ORD10811,110,customer110@example.com,2026-04-17T21:41:08,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,45.59,EUR,DE,2026-08-26,duplicate row
ORD10829,1329,customer1329@example.com,1771554585,completed,web,SKU-EL-004,4K Action Camera,Electronics,1,202.82,EUR,RO,2026-08-23,duplicate row
ORD10842,40,customer40@example.com,1780751784,completed,mobile_app,SKU-BK-002,The Pragmatic Programmer,Books,1,46.71,EUR,RO,2026-08-25,duplicate row
ORD10848,805,customer805@example.com,19/06/2026 19:46,completed,marketplace,SKU-FA-001,Men's Slim Fit Jeans,Fashion,3,53.92,RON,RO,2026-08-31,duplicate row
ORD10861,65,customer65@example.com,2026-05-15T11:30:02,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,2,37.12,EUR,HU,2026-09-02,duplicate row
ORD10892,70,customer70@example.com,2026-05-14T14:35:50,completed,web,SKU-FA-002,Women's Wool Coat,Fashion,1,141.11,EUR,RO,2026-08-25,duplicate row
ORD10903,1627,customer1627@example.com,2026-01-30T00:17:31,completed,marketplace,SKU-SP-001,Yoga Mat Premium,Sports,1,33.99,EUR,RO,2026-08-27,duplicate row
ORD10931,1741,customer1741@example.com,2026-01-18T03:06:54,completed,marketplace,SKU-SP-001,Yoga Mat Premium,Sports,2,33.82,EUR,RO,2026-08-30,duplicate row
ORD10942,1625,customer1625@example.com,2026-01-25T20:33:03,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,3,51.21,EUR,RO,2026-08-29,duplicate row
ORD10964,985,customer985@example.com,1779001361,completed,mobile_app,SKU-EL-004,4K Action Camera,Electronics,1,181.8,RON,RO,2026-08-31,duplicate row
ORD10969,427,customer427@example.com,2026-06-01T03:07:35,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,47.92,EUR,DE,2026-08-29,duplicate row
ORD10991,1094,customer1094@example.com,2026-06-16T18:03:25,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,1,40.82,RON,DE,2026-08-23,duplicate row
ORD11006,222,customer222@example.com,18/05/2026 19:47,completed,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,178.75,EUR,DE,2026-09-03,duplicate row
ORD11027,1223,customer1223@example.com,2026-06-18T06:16:43,completed,web,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,27.46,EUR,RO,2026-09-01,duplicate row
ORD11041,1035,customer1035@example.com,1768492564,completed,marketplace,SKU-EL-002,USB-C Fast Charger 65W,Electronics,2,33.21,RON,BG,2026-08-29,duplicate row
ORD11047,199,customer199@example.com,03/02/2026 19:26,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,3,87.88,EUR,RO,2026-08-23,duplicate row
ORD11089,328,customer328@example.com,27/01/2026 00:28,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,3,44.4,EUR,RO,2026-08-27,duplicate row
ORD11108,689,customer689@example.com,2026-04-03T09:42:32,completed,mobile_app,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,56.73,EUR,RO,2026-08-30,duplicate row
ORD11117,1268,customer1268@example.com,1773841098,completed,web,SKU-HK-003,Air Fryer 5L,Home & Kitchen,1,122.94,EUR,RO,2026-08-27,duplicate row
ORD11166,671,customer671@example.com,2026-01-11T19:31:09,refunded,web,SKU-EL-001,Wireless Earbuds X2,Electronics,1,76.19,EUR,RO,2026-09-03,duplicate row
ORD11179,1364,customer1364@example.com,28/02/2026 20:15,completed,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,26.27,EUR,BG,2026-08-27,duplicate row
ORD11253,338,customer338@example.com,2026-04-22T00:11:40,completed,marketplace,SKU-BK-002,The Pragmatic Programmer,Books,1,41.83,EUR,RO,2026-09-01,duplicate row
ORD11279,1491,customer1491@example.com,2026-04-16T01:54:26,completed,web,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,1,63.83,EUR,HU,2026-08-27,duplicate row
ORD11312,1837,internal.tester1837@aqurate.ai,1775567908,test,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,1,45.87,RON,RO,2026-08-25,duplicate row
ORD11344,175,customer175@example.com,27/06/2026 12:57,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,20.79,EUR,RO,2026-09-01,duplicate row
ORD11345,1035,customer1035@example.com,2026-01-03T06:33:43,refunded,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,180.09,EUR,DE,2026-08-25,duplicate row
ORD11391,1502,customer1502@example.com,2026-03-15T21:25:19,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,26.77,EUR,RO,2026-08-26,duplicate row
ORD11474,1822,customer1822@example.com,19/03/2026 06:41,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,19.92,EUR,RO,2026-08-25,duplicate row
ORD11487,137,customer137@example.com,2026-01-01T22:41:56,completed,web,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,56.04,RON,RO,2026-08-24,duplicate row
ORD11506,515,customer515@example.com,1772256417,completed,web,SKU-SP-001,Yoga Mat Premium,Sports,3,30.77,EUR,BG,2026-08-30,duplicate row
ORD11547,718,customer718@example.com,2026-05-09T05:11:59,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,53.57,RON,BG,2026-08-29,duplicate row
ORD11591,1508,customer1508@example.com,2026-02-23T22:15:04,completed,web,SKU-FA-002,Women's Wool Coat,Fashion,1,150.84,EUR,BG,2026-08-29,duplicate row
ORD11606,1358,customer1358@example.com,1775088414,completed,web,SKU-FA-002,Women's Wool Coat,Fashion,1,148.91,EUR,RO,2026-08-25,duplicate row
ORD11643,1057,customer1057@example.com,2026-03-24T05:06:57,completed,web,SKU-EL-001,Wireless Earbuds X2,Electronics,2,77.09,EUR,HU,2026-08-26,duplicate row
ORD11668,1003,customer1003@example.com,2026-03-13T10:12:10,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,1,98.66,EUR,HU,2026-09-01,duplicate row
ORD11676,418,customer418@example.com,29/06/2026 05:54,completed,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,168.74,EUR,RO,2026-08-28,duplicate row
ORD11723,57,customer57@example.com,2026-02-15T06:52:17,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,18.93,EUR,BG,2026-08-26,duplicate row
ORD11747,389,customer389@example.com,2026-01-09T09:08:55,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,25.94,EUR,RO,2026-08-30,duplicate row
ORD11776,1371,customer1371@example.com,2026-02-23T23:21:28,completed,marketplace,SKU-BK-001,Atomic Habits (RO ed.),Books,3,18.29,EUR,BG,2026-08-27,duplicate row
ORD11811,796,customer796@example.com,25/02/2026 20:11,completed,web,SKU-EL-001,Wireless Earbuds X2,Electronics,1,72.03,EUR,RO,2026-09-03,duplicate row
ORD11822,242,customer242@example.com,1769275521,completed,marketplace,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,1,69.63,RON,DE,2026-08-28,duplicate row
ORD11840,987,customer987@example.com,2026-06-22T15:57:11,completed,marketplace,SKU-FA-002,Women's Wool Coat,Fashion,3,136.01,EUR,RO,2026-08-28,duplicate row
ORD11895,1735,customer1735@example.com,1768083186,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,18.27,RON,RO,2026-08-23,duplicate row
ORD11991,1266,customer1266@example.com,2026-03-29T17:04:30,completed,mobile_app,SKU-FA-002,Women's Wool Coat,Fashion,1,131.82,EUR,BG,2026-08-30,duplicate row
ORD12038,1183,customer1183@example.com,2026-06-26T16:08:07,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,3,89.03,EUR,DE,2026-08-31,duplicate row
ORD12046,1858,customer1858@example.com,2026-06-09T19:06:08,completed,mobile_app,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,174.92,EUR,RO,2026-09-02,duplicate row
ORD12085,1823,customer1823@example.com,1775991637,completed,mobile_app,SKU-EL-001,Wireless Earbuds X2,Electronics,1,82.27,RON,DE,2026-08-28,duplicate row
ORD12089,1643,customer1643@example.com,2026-01-28T19:18:29,completed,marketplace,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,31.16,EUR,RO,2026-09-01,duplicate row
ORD12111,1605,customer1605@example.com,1776260415,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,1,46.52,EUR,RO,2026-08-31,duplicate row
ORD12119,1214,customer1214@example.com,2026-05-12T11:03:37,completed,web,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,58.92,RON,RO,2026-09-01,duplicate row
ORD12142,1908,customer1908@example.com,2026-04-02T10:07:34,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,1,46.52,EUR,RO,2026-08-27,duplicate row
ORD12190,781,customer781@example.com,1770281589,completed,web,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,56.23,EUR,RO,2026-08-27,duplicate row
ORD12198,1450,customer1450@example.com,2026-01-27T20:12:23,completed,web,SKU-SP-001,Yoga Mat Premium,Sports,1,33.61,EUR,HU,2026-08-31,duplicate row
ORD12316,1634,customer1634@example.com,2026-05-23T17:01:11,completed,web,SKU-EL-004,4K Action Camera,Electronics,2,185.79,RON,HU,2026-08-26,duplicate row
ORD12388,530,customer530@example.com,1774749493,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,44.29,RON,RO,2026-08-29,duplicate row
ORD12395,1973,customer1973@example.com,1772090462,completed,web,SKU-FA-002,Women's Wool Coat,Fashion,-1,157.46,EUR,BG,2026-08-26,duplicate row
ORD12401,510,customer510@example.com,04/06/2026 04:04,completed,web,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,22.8,EUR,BG,2026-08-31,duplicate row
ORD12415,909,customer909@example.com,15/03/2026 13:36,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,1,46.68,RON,RO,2026-08-28,duplicate row
ORD12528,1638,customer1638@example.com,2026-03-17T07:14:34,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,35.86,RON,RO,2026-08-31,duplicate row
ORD12543,1285,customer1285@example.com,2026-02-18T14:19:14,completed,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,1,38.33,EUR,DE,2026-09-01,duplicate row
ORD12547,1259,customer1259@example.com,10/01/2026 03:46,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,2,96.6,EUR,RO,2026-08-23,duplicate row
ORD12555,,customer1621@example.com,1780624719,completed,web,SKU-FA-002,Women's Wool Coat,Fashion,2,158.52,EUR,RO,2026-08-24,duplicate row
ORD12558,221,customer221@example.com,2026-03-14T12:44:23,completed,web,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,2,62.36,EUR,RO,2026-08-23,duplicate row
ORD12561,1779,customer1779@example.com,2026-03-03T19:45:56,completed,marketplace,SKU-EL-004,4K Action Camera,Electronics,3,179.48,EUR,HU,2026-08-30,duplicate row
ORD12614,1697,customer1697@example.com,1770603333,completed,mobile_app,SKU-FA-002,Women's Wool Coat,Fashion,-1,152.63,EUR,RO,2026-09-01,duplicate row
ORD12616,753,customer753@example.com,1772864506,completed,web,SKU-SP-001,Yoga Mat Premium,Sports,1,30.07,EUR,HU,2026-08-27,duplicate row
ORD12632,1773,customer1773@example.com,2026-06-04T13:33:33,refunded,marketplace,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,49.87,EUR,RO,2026-09-01,duplicate row
ORD12644,1480,customer1480@example.com,2026-04-06T14:03:17,completed,mobile_app,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,53.71,EUR,RO,2026-08-27,duplicate row
ORD12669,1440,customer1440@example.com,18/03/2026 16:22,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,19.6,EUR,HU,2026-08-30,duplicate row
ORD12698,1026,customer1026@example.com,2026-06-19T13:22:05,completed,mobile_app,SKU-EL-001,Wireless Earbuds X2,Electronics,1,83.35,EUR,HU,2026-08-25,duplicate row
ORD12741,,customer1794@example.com,1773105119,completed,mobile_app,SKU-BK-001,Atomic Habits (RO ed.),Books,1,21.42,RON,HU,2026-09-03,duplicate row
ORD12748,976,customer976@example.com,2026-01-24T09:07:30,completed,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,2,42.09,EUR,RO,2026-09-01,duplicate row
ORD12757,883,internal.tester883@aqurate.ai,2026-06-02T01:49:40,test,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,28.68,EUR,RO,2026-08-30,duplicate row
ORD12945,562,customer562@example.com,2026-02-18T05:27:13,completed,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,2,26.43,EUR,HU,2026-08-27,duplicate row
ORD13057,1527,customer1527@example.com,2026-06-12T19:37:21,completed,marketplace,SKU-FA-001,Men's Slim Fit Jeans,Fashion,2,51.98,RON,RO,2026-08-31,duplicate row
ORD13088,1850,customer1850@example.com,2026-03-29T11:53:32,completed,web,SKU-SP-001,Yoga Mat Premium,Sports,1,30.84,EUR,RO,2026-08-24,duplicate row
ORD13156,769,customer769@example.com,1779498160,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,19.82,RON,RO,2026-08-28,duplicate row
ORD13157,1201,customer1201@example.com,2026-01-15T09:20:58,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,35.64,EUR,RO,2026-08-31,duplicate row
ORD13165,1875,customer1875@example.com,2026-05-07T23:51:49,completed,web,SKU-EL-004,4K Action Camera,Electronics,1,182.34,EUR,RO,2026-09-03,duplicate row
ORD13174,726,customer726@example.com,2026-02-12T01:42:16,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,36.69,RON,HU,2026-09-03,duplicate row
ORD13197,790,customer790@example.com,2026-06-14T14:14:12,completed,marketplace,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,44.46,EUR,RO,2026-08-26,duplicate row
ORD13202,1287,customer1287@example.com,2026-02-01T04:43:09,completed,web,SKU-EL-004,4K Action Camera,Electronics,1,171.56,EUR,RO,2026-09-02,duplicate row
ORD13246,60,customer60@example.com,2026-06-20T07:11:21,completed,web,SKUEL001,Wireless Earbuds X2,Electronics,1,72.05,EUR,RO,2026-08-25,duplicate row
ORD13263,130,customer130@example.com,2026-04-25T05:43:51,completed,web,SKU-FA-001,Men's Slim Fit Jeans,Fashion,3,54.6,EUR,BG,2026-08-30,duplicate row
ORD13287,655,customer655@example.com,2026-01-30T11:50:01,completed,web,SKU-BE-001,Vitamin C Serum 30ml,Beauty,2,23.83,EUR,RO,2026-09-02,duplicate row
ORD13292,727,customer727@example.com,2026-06-13T07:07:50,completed,mobile_app,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,25.14,EUR,RO,2026-08-26,duplicate row
ORD13315,1278,customer1278@example.com,2026-02-08T11:44:46,completed,web,SKU-EL-003,Bluetooth Speaker Mini,Electronics,1,48.88,EUR,RO,2026-09-01,duplicate row
ORD13339,688,customer688@example.com,2026-01-10T07:38:13,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,1,85.75,EUR,HU,2026-08-29,duplicate row
ORD13351,1651,customer1651@example.com,19/03/2026 17:21,completed,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,189.48,EUR,RO,2026-08-31,duplicate row
ORD13390,365,customer365@example.com,2026-06-05T06:06:11,completed,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,3,44.01,EUR,RO,2026-09-03,duplicate row
ORD13394,1468,customer1468@example.com,07/04/2026 23:26,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,,2,29.22,EUR,RO,2026-08-24,duplicate row
ORD13446,1332,customer1332@example.com,1771433851,completed,marketplace,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,178.46,EUR,RO,2026-08-30,duplicate row
ORD13525,1437,customer1437@example.com,2026-03-06T02:08:28,completed,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,3,185.34,EUR,HU,2026-08-28,duplicate row
ORD13536,384,customer384@example.com,2026-02-05T10:36:55,completed,mobile_app,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,1,44.34,EUR,RO,2026-08-26,duplicate row
ORD13539,899,customer899@example.com,2026-03-12T21:51:21,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,3,19.51,EUR,DE,2026-08-31,duplicate row
ORD13565,,customer995@example.com,2026-03-23T14:30:15,completed,mobile_app,SKU-FA-001,Men's Slim Fit Jeans,Fashion,2,53.39,RON,BG,2026-08-25,duplicate row
ORD13609,802,customer802@example.com,2026-06-09T08:35:54,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,28.47,EUR,RO,2026-08-27,duplicate row
ORD13649,1960,customer1960@example.com,2026-04-26T09:51:27,completed,mobile_app,SKU-BK-002,The Pragmatic Programmer,Books,1,45.1,EUR,RO,2026-08-25,duplicate row
ORD13686,1256,customer1256@example.com,01/01/2026 22:19,completed,mobile_app,SKU-EL-004,4K Action Camera,Electronics,1,198.18,EUR,BG,2026-08-30,duplicate row
ORD13719,646,customer646@example.com,2026-06-20T14:06:06,completed,web,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,23.51,EUR,RO,2026-08-25,duplicate row
ORD13830,166,customer166@example.com,2026-03-29T13:49:54,completed,web,SKU-FA-001,Men's Slim Fit Jeans,,1,54.54,EUR,BG,2026-08-27,duplicate row
ORD13868,194,customer194@example.com,20/03/2026 23:30,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,1,82.6,RON,HU,2026-08-28,duplicate row
ORD13875,1511,customer1511@example.com,1770147032,refunded,marketplace,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,165.19,EUR,RO,2026-08-30,duplicate row
ORD13981,1228,customer1228@example.com,23/01/2026 00:43,completed,mobile_app,SKU-BK-001,Atomic Habits (RO ed.),Books,1,21.66,EUR,RO,2026-08-27,duplicate row
ORD14003,1752,customer1752@example.com,2026-05-25T08:00:47,completed,mobile_app,SKU-SP-001,Yoga Mat Premium,Sports,2,31.8,EUR,RO,2026-08-26,duplicate row
ORD14078,309,customer309@example.com,2026-03-20T00:44:02,completed,marketplace,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,33.9,EUR,RO,2026-08-24,duplicate row
ORD14083,618,customer618@example.com,01/04/2026 12:31,completed,web,SKU-HK-003,Air Fryer 5L,Home & Kitchen,1,115.89,EUR,RO,2026-08-30,duplicate row
ORD14095,262,customer262@example.com,12/05/2026 12:18,completed,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,3,27.32,EUR,RO,2026-09-02,duplicate row
ORD14133,58,customer58@example.com,09/04/2026 01:58,completed,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,27.14,EUR,RO,2026-08-26,duplicate row
ORD14141,1479,customer1479@example.com,1776458256,completed,mobile_app,SKU-EL-003,Bluetooth Speaker Mini,Electronics,2,50.23,EUR,RO,2026-08-28,duplicate row
ORD14174,1381,customer1381@example.com,2026-05-26T04:39:48,completed,marketplace,SKU-BK-002,The Pragmatic Programmer,Books,2,40.83,EUR,DE,2026-08-25,duplicate row
ORD14214,1164,customer1164@example.com,2026-04-11T17:42:54,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,2,84.99,EUR,DE,2026-08-29,duplicate row
ORD14242,1898,customer1898@example.com,2026-06-13T20:22:11,completed,web,SKU-EL-004,4K Action Camera,Electronics,3,187.16,RON,RO,2026-08-25,duplicate row
ORD14312,523,customer523@example.com,2026-04-04T04:06:14,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,2,30.68,EUR,DE,2026-08-30,duplicate row
ORD14313,392,customer392@example.com,2026-05-15T22:36:20,completed,web,SKU-HK-003,Air Fryer 5L,Home & Kitchen,3,112.94,EUR,BG,2026-08-25,duplicate row
ORD14329,349,customer349@example.com,2026-02-10T07:57:25,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,1,86.45,EUR,RO,2026-08-29,duplicate row
ORD14453,58,customer58@example.com,2026-04-20T22:58:42,completed,web,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,1,61.86,EUR,DE,2026-08-25,duplicate row
ORD14523,1697,customer1697@example.com,2026-03-28T22:23:47,completed,marketplace,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,31.97,EUR,RO,2026-08-28,duplicate row
ORD14534,509,customer509@example.com,11/03/2026 22:45,completed,marketplace,SKU-FA-001,Men's Slim Fit Jeans,Fashion,2,53.67,EUR,RO,2026-08-26,duplicate row
ORD14537,1689,customer1689@example.com,1780874370,completed,mobile_app,SKU-EL-004,4K Action Camera,Electronics,1,187.5,EUR,RO,2026-08-28,duplicate row
ORD14563,1976,customer1976@example.com,2026-02-04T01:08:02,completed,mobile_app,SKU-FA-003,Running Shoes Pro,Fashion,1,92.47,EUR,RO,2026-08-27,duplicate row
ORD14567,1123,customer1123@example.com,2026-02-14T11:03:14,completed,web,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,2,28.93,RON,RO,2026-08-29,duplicate row
ORD14658,1334,customer1334@example.com,2026-04-22T21:12:37,completed,web,SKU-BK-001,Atomic Habits (RO ed.),Books,1,21.49,EUR,RO,2026-08-23,duplicate row
ORD14673,1648,customer1648@example.com,2026-03-05T09:05:45,completed,marketplace,SKU-FA-003,Running Shoes Pro,Fashion,1,91.81,EUR,RO,2026-09-03,duplicate row
ORD14819,134,customer134@example.com,2026-01-13T20:29:08,completed,mobile_app,SKU-FA-002,Women's Wool Coat,Fashion,1,159.09,EUR,BG,2026-09-01,duplicate row
ORD14853,16,customer16@example.com,2026-06-12T02:47:07,completed,web,SKU-SP-002,Adjustable Dumbbell Set,Sports,1,162.46,EUR,RO,2026-08-31,duplicate row
ORD14891,105,customer105@example.com,24/03/2026 21:30,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,2,31.19,EUR,HU,2026-08-31,duplicate row
ORD14909,1951,customer1951@example.com,2026-01-04T07:49:07,completed,marketplace,SKU-FA-002,Women's Wool Coat,Fashion,1,156.9,EUR,RO,2026-09-01,duplicate row
ORD14917,1078,customer1078@example.com,1781719884,completed,marketplace,SKU-SP-001,Yoga Mat Premium,Sports,1,29.01,RON,DE,2026-08-23,duplicate row
ORD14940,1831,customer1831@example.com,2026-05-12T13:21:47,completed,mobile_app,SKU-HK-002,Non-stick Frying Pan 28cm,Home & Kitchen,1,28.18,EUR,DE,2026-08-29,duplicate row
ORD14988,1826,customer1826@example.com,2026-06-27T08:00:16,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,2,32.57,EUR,RO,2026-08-30,duplicate row
ORD15096,165,customer165@example.com,1772664887,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,2,40.77,EUR,HU,2026-08-29,duplicate row
ORD15152,725,customer725@example.com,12/04/2026 01:45,completed,marketplace,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,27.17,RON,RO,2026-08-30,duplicate row
ORD15210,1242,customer1242@example.com,2026-04-29T19:33:24,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,31.55,EUR,DE,2026-08-28,duplicate row
ORD15252,317,customer317@example.com,2026-04-03T02:51:29,completed,web,SKU-BE-001,Vitamin C Serum 30ml,Beauty,2,24.62,EUR,RO,2026-09-01,duplicate row
ORD15322,1117,customer1117@example.com,1771702638,completed,web,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,1,64.79,RON,RO,2026-08-25,duplicate row
