category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price
Beauty,web,RO,EUR,customer1342@example.com,1342,2026-09-01,ORD14336,23/06/2026 15:06,Vitamin C Serum 30ml,1,SKU-BE-001,completed,27.33
Sports,web,RO,EUR,customer1862@example.com,1862,2026-09-03,ORD15872,2026-06-21T09:29:16,Adjustable Dumbbell Set,1,SKU-SP-002,completed,186.22
Books,web,RO,EUR,customer1259@example.com,1259,2026-08-27,ORD10244,2026-02-05T05:39:17,Atomic Habits (RO ed.),3,SKU-BK-001,completed,19.07
Sports,web,RO,EUR,customer1259@example.com,1259,2026-08-27,ORD10244,2026-02-05T05:39:17,Adjustable Dumbbell Set,1,SKU-SP-002,completed,190.46
Home & Kitchen,web,RO,EUR,customer1259@example.com,1259,2026-08-27,ORD10244,2026-02-05T05:39:17,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,28.99
Electronics,marketplace,RO,EUR,customer806@example.com,806,2026-08-24,ORD13789,1778592336,USB-C Fast Charger 65W,1,SKU-EL-002,completed,37.28
Fashion,marketplace,RO,EUR,customer806@example.com,806,2026-08-24,ORD13789,1778592336,Women's Wool Coat,2,SKU-FA-002,completed,144.24
Electronics,mobile_app,BG,EUR,customer1256@example.com,1256,2026-08-30,ORD13686,01/01/2026 22:19,4K Action Camera,1,SKU-EL-004,completed,198.18
Electronics,mobile_app,BG,EUR,customer1256@example.com,1256,2026-08-30,ORD13686,01/01/2026 22:19,4K Action Camera,1,SKU-EL-004,completed,198.18
Electronics,marketplace,RO,EUR,customer1846@example.com,1846,2026-08-29,ORD12979,27/05/2026 23:10,4K Action Camera,1,SKU-EL-004,completed,185.92
Electronics,marketplace,RO,EUR,customer1846@example.com,1846,2026-08-29,ORD12979,27/05/2026 23:10,USB-C Fast Charger 65W,-1,SKU-EL-002,completed,31.11
Sports,marketplace,RO,EUR,customer1846@example.com,1846,2026-08-29,ORD12979,27/05/2026 23:10,Yoga Mat Premium,3,SKU-SP-001,completed,29.42
Beauty,marketplace,RO,EUR,customer1691@example.com,1691,2026-09-01,ORD13498,2026-03-17T22:45:46,Hair Dryer Ionic 2200W,-3,SKU-BE-002,completed,64.5
Beauty,marketplace,RO,EUR,customer1688@example.com,1688,2026-08-23,ORD11976,2026-05-25T01:28:41,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,61.04
Beauty,marketplace,RO,EUR,customer1688@example.com,1688,2026-08-23,ORD11976,2026-05-25T01:28:41,Vitamin C Serum 30ml,1,SKU-BE-001,completed,24.16
Beauty,marketplace,BG,RON,customer1079@example.com,1079,2026-08-31,ORD12107,2026-02-24T07:48:06,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,66.56
Electronics,web,BG,EUR,customer1409@example.com,1409,2026-08-28,ORD10392,2026-06-29T13:33:14,USB-C Fast Charger 65W,3,SKU-EL-002,completed,35.38
Fashion,web,RO,EUR,customer906@example.com,906,2026-08-30,ORD14852,1781480642,Women's Wool Coat,3,SKU-FA-002,completed,139.56
Home & Kitchen,marketplace,DE,EUR,customer1115@example.com,1115,2026-09-02,ORD15831,28/06/2026 11:51,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,26.89
Electronics,marketplace,DE,EUR,customer1115@example.com,1115,2026-09-02,ORD15831,28/06/2026 11:51,USB-C Fast Charger 65W,1,SKU-EL-002,completed,36.06
Fashion,web,RO,EUR,customer161@example.com,161,2026-08-27,ORD15290,05/02/2026 03:09,Women's Wool Coat,1,SKU-FA-002,completed,141.46
Home & Kitchen,web,RO,EUR,customer161@example.com,161,2026-08-27,ORD15290,05/02/2026 03:09,Stainless Steel Kettle,1,SKU-HK-001,completed,45.73
Sports,web,BG,RON,customer114@example.com,114,2026-08-25,ORD12978,10/02/2026 10:03,Yoga Mat Premium,1,SKU-SP-001,completed,31.72
Electronics,web,BG,RON,customer114@example.com,114,2026-08-25,ORD12978,10/02/2026 10:03,Wireless Earbuds X2,1,SKU-EL-001,completed,82.86
Beauty,web,BG,RON,customer114@example.com,114,2026-08-25,ORD12978,10/02/2026 10:03,Hair Dryer Ionic 2200W,3,SKU-BE-002,completed,66.2
Beauty,web,DE,EUR,customer1257@example.com,1257,2026-08-29,ORD13163,2026-03-24T09:15:56,Vitamin C Serum 30ml,1,SKU-BE-001,completed,23.71
Electronics,web,RO,EUR,customer138@example.com,138,2026-08-25,ORD10405,2026-01-02T02:06:33,USB-C Fast Charger 65W,3,SKU-EL-002,completed,33.99
Electronics,web,RO,EUR,customer138@example.com,138,2026-08-25,ORD10405,2026-01-02T02:06:33,Wireless Earbuds X2,1,SKUEL001,completed,73.64
Beauty,web,RO,EUR,customer138@example.com,138,2026-08-25,ORD10405,2026-01-02T02:06:33,Vitamin C Serum 30ml,1,SKU-BE-001,completed,25.46
Electronics,web,RO,EUR,customer1409@example.com,1409,2026-08-26,ORD14295,02/02/2026 07:22,4K Action Camera,3,SKU-EL-004,completed,178.66
Home & Kitchen,web,RO,EUR,customer1409@example.com,1409,2026-08-26,ORD14295,02/02/2026 07:22,Air Fryer 5L,1,SKU-HK-003,completed,117.51
Electronics,web,RO,EUR,customer1778@example.com,1778,2026-09-02,ORD15930,2026-02-08T10:53:23,Bluetooth Speaker Mini,2,SKU-EL-003,completed,47.59
Home & Kitchen,web,BG,RON,customer1020@example.com,1020,2026-09-01,ORD10569,2026-01-23T06:07:28,Non-stick Frying Pan 28cm,2,SKU-HK-002,completed,28.96
Sports,web,RO,EUR,customer175@example.com,175,2026-08-31,ORD13179,2026-04-15T08:32:36,Yoga Mat Premium,1,SKU-SP-001,completed,34.07
Books,web,RO,EUR,customer175@example.com,175,2026-08-31,ORD13179,2026-04-15T08:32:36,The Pragmatic Programmer,2,SKU-BK-002,completed,39.76
Electronics,web,RO,EUR,customer175@example.com,175,2026-08-31,ORD13179,2026-04-15T08:32:36,USB-C Fast Charger 65W,1,SKU-EL-002,completed,31.43
Books,web,DE,EUR,customer1031@example.com,,2026-08-31,ORD10355,2026-05-01T19:16:53,The Pragmatic Programmer,-1,SKU-BK-002,completed,46.29
Beauty,web,DE,EUR,customer1031@example.com,1031,2026-08-31,ORD10355,2026-05-01T19:16:53,Vitamin C Serum 30ml,1,SKU-BE-001,completed,24.15
Electronics,web,DE,EUR,customer1031@example.com,1031,2026-08-31,ORD10355,2026-05-01T19:16:53,USB-C Fast Charger 65W,1,SKU-EL-002,completed,35.74
Home & Kitchen,web,DE,EUR,customer117@example.com,117,2026-08-27,ORD15234,2026-04-21T04:49:48,Air Fryer 5L,1,SKU-HK-003,completed,127.68
Fashion,web,DE,EUR,customer117@example.com,117,2026-08-27,ORD15234,2026-04-21T04:49:48,Men's Slim Fit Jeans,1,SKU-FA-001,completed,55.55
Sports,web,DE,EUR,customer117@example.com,117,2026-08-27,ORD15234,2026-04-21T04:49:48,Yoga Mat Premium,1,SKU-SP-001,completed,34.83
Home & Kitchen,mobile_app,RO,EUR,customer437@example.com,437,2026-09-03,ORD12432,2026-05-11T05:56:00,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,27.7
Beauty,web,RO,RON,customer579@example.com,579,2026-08-24,ORD15297,27/01/2026 04:55,Vitamin C Serum 30ml,1,SKU-BE-001,completed,27.11
Sports,web,RO,RON,customer579@example.com,579,2026-08-24,ORD15297,27/01/2026 04:55,Yoga Mat Premium,1,SKU-SP-001,completed,34.17
Fashion,mobile_app,BG,EUR,customer109@example.com,109,2026-08-27,ORD12875,1777739833,Men's Slim Fit Jeans,1,SKU-FA-001,refunded,60.1
Home & Kitchen,mobile_app,RO,EUR,customer1827@example.com,1827,2026-08-29,ORD15687,2026-04-30T13:08:54,Stainless Steel Kettle,1,SKU-HK-001,completed,42.14
Electronics,mobile_app,RO,EUR,customer1827@example.com,1827,2026-08-29,ORD15687,2026-04-30T13:08:54,USB-C Fast Charger 65W,1,SKU-EL-002,completed,36.95
Fashion,web,DE,EUR,customer873@example.com,873,2026-08-30,ORD13380,2026-04-23T00:18:31,Women's Wool Coat,2,SKU-FA-002,completed,139.15
Books,web,DE,EUR,customer873@example.com,873,2026-08-30,ORD13380,2026-04-23T00:18:31,The Pragmatic Programmer,-1,SKU-BK-002,completed,41.84
Beauty,web,DE,EUR,customer873@example.com,873,2026-08-30,ORD13380,2026-04-23T00:18:31,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,71.21
Books,mobile_app,DE,EUR,customer259@example.com,259,2026-09-02,ORD14030,2026-03-29T11:44:44,The Pragmatic Programmer,1,SKU-BK-002,completed,40.16
Fashion,marketplace,RO,EUR,customer1391@example.com,1391,2026-08-29,ORD13547,2026-01-12T17:48:18,Running Shoes Pro,1,SKU-FA-003,completed,82.31
Fashion,marketplace,RO,EUR,customer1391@example.com,1391,2026-08-29,ORD13547,2026-01-12T17:48:18,Men's Slim Fit Jeans,1,SKU-FA-001,completed,53.79
Beauty,web,RO,EUR,customer1547@example.com,1547,2026-08-30,ORD12281,1768590549,Vitamin C Serum 30ml,1,SKU-BE-001,completed,24.68
Electronics,web,BG,RON,customer1420@example.com,1420,2026-08-28,ORD12971,19/03/2026 15:05,4K Action Camera,1,SKU-EL-004,completed,195.69
Books,web,BG,RON,customer1420@example.com,1420,2026-08-28,ORD12971,19/03/2026 15:05,The Pragmatic Programmer,1,SKU-BK-002,completed,46.37
Electronics,web,BG,RON,customer1420@example.com,1420,2026-08-28,ORD12971,19/03/2026 15:05,USB-C Fast Charger 65W,1,SKU-EL-002,completed,36.72
Electronics,web,RO,RON,customer1879@example.com,1879,2026-08-28,ORD14734,2026-05-07T00:26:51,Bluetooth Speaker Mini,1,SKU-EL-003,completed,46.94
Electronics,web,RO,EUR,customer318@example.com,318,2026-08-27,ORD11651,2026-02-12T12:46:53,Bluetooth Speaker Mini,1,SKU-EL-003,completed,44.46
Sports,web,RO,EUR,customer318@example.com,318,2026-08-27,ORD11651,2026-02-12T12:46:53,Yoga Mat Premium,2,SKU-SP-001,completed,29.84
Books,mobile_app,RO,EUR,customer1359@example.com,1359,2026-08-30,ORD13934,06/05/2026 09:04,The Pragmatic Programmer,1,SKU-BK-002,completed,47.18
Sports,mobile_app,RO,EUR,customer1359@example.com,1359,2026-08-30,ORD13934,06/05/2026 09:04,Yoga Mat Premium,1,SKU-SP-001,completed,31.15
Electronics,web,BG,EUR,customer1598@example.com,1598,2026-09-03,ORD10352,2026-01-14T07:52:56,4K Action Camera,1,SKU-EL-004,completed,203.22
Electronics,web,DE,EUR,customer324@example.com,324,2026-08-31,ORD14067,2026-04-23T21:40:05,USB-C Fast Charger 65W,1,SKU-EL-002,refunded,34.68
Sports,web,DE,EUR,customer324@example.com,324,2026-08-31,ORD14067,2026-04-23T21:40:05,Yoga Mat Premium,1,SKU-SP-001,refunded,32.69
Electronics,marketplace,RO,EUR,customer360@example.com,360,2026-08-30,ORD13987,2026-06-28T18:41:43,USB-C Fast Charger 65W,1,SKU-EL-002,completed,34.91
Fashion,marketplace,RO,EUR,customer360@example.com,360,2026-08-30,ORD13987,2026-06-28T18:41:43,Running Shoes Pro,1,SKU-FA-003,completed,86.41
Home & Kitchen,web,RO,RON,customer1353@example.com,1353,2026-08-31,ORD12854,2026-03-29T09:58:53,Air Fryer 5L,1,SKU HK 003,completed,110.36
Beauty,web,BG,EUR,customer698@example.com,698,2026-08-31,ORD15049,1770761921,Vitamin C Serum 30ml,1,SKU-BE-001,completed,27.48
Home & Kitchen,web,BG,EUR,customer698@example.com,698,2026-08-31,ORD15049,1770761921,Air Fryer 5L,1,SKU-HK-003,completed,119.95
Sports,web,BG,EUR,customer698@example.com,698,2026-08-31,ORD15049,1770761921,Yoga Mat Premium,3,SKU-SP-001,completed,29.77
Electronics,web,BG,RON,customer265@example.com,265,2026-08-27,ORD15564,1768694271,USB-C Fast Charger 65W,1,SKU-EL-002,completed,34.1
Electronics,web,BG,RON,customer265@example.com,265,2026-08-27,ORD15564,1768694271,4K Action Camera,2,SKU-EL-004,completed,192.93
Electronics,web,BG,RON,customer265@example.com,265,2026-08-27,ORD15564,1768694271,4K Action Camera,2,SKU-EL-004,completed,192.93
Sports,web,BG,RON,customer265@example.com,265,2026-08-27,ORD15564,1768694271,Adjustable Dumbbell Set,1,SKU-SP-002,completed,174.1
Electronics,web,RO,EUR,customer693@example.com,693,2026-09-02,ORD11013,2026-06-09T23:39:33,USB-C Fast Charger 65W,2,SKU-EL-002,completed,35.85
Electronics,mobile_app,RO,EUR,customer1730@example.com,1730,2026-08-27,ORD11624,2026-01-15T16:59:06,Bluetooth Speaker Mini,1,SKU-EL-003,completed,45.79
Electronics,web,RO,EUR,customer825@example.com,825,2026-08-25,ORD14128,30/01/2026 12:42,Bluetooth Speaker Mini,1,SKU-EL-003,completed,49.4
Books,web,RO,EUR,customer1661@example.com,1661,2026-08-26,ORD13115,2026-03-27T00:12:11,Atomic Habits (RO ed.),1,SKU-BK-001,refunded,20.53
Beauty,web,RO,EUR,customer1661@example.com,1661,2026-08-26,ORD13115,2026-03-27T00:12:11,Hair Dryer Ionic 2200W,2,SKU-BE-002,refunded,67.48
Electronics,web,RO,EUR,customer1928@example.com,1928,2026-08-26,ORD15317,2026-03-23T08:50:03,Bluetooth Speaker Mini,1,SKU-EL-003,completed,52.67
Books,web,RO,EUR,customer1928@example.com,1928,2026-08-26,ORD15317,2026-03-23T08:50:03,Atomic Habits (RO ed.),1,SKU-BK-001,completed,18.22
Fashion,marketplace,RO,EUR,customer1959@example.com,1959,2026-08-23,ORD14671,2026-04-12T15:13:38,Women's Wool Coat,1,SKU-FA-002,completed,156.61
Electronics,marketplace,RO,EUR,customer1959@example.com,1959,2026-08-23,ORD14671,2026-04-12T15:13:38,Bluetooth Speaker Mini,1,SKU-EL-003,completed,48.61
Sports,marketplace,RO,EUR,customer1959@example.com,1959,2026-08-23,ORD14671,2026-04-12T15:13:38,Adjustable Dumbbell Set,3,SKU-SP-002,completed,190.28
Books,web,RO,EUR,customer1163@example.com,1163,2026-08-24,ORD10808,2026-05-02T21:38:46,Atomic Habits (RO ed.),2,SKU-BK-001,completed,20.68
Beauty,web,RO,EUR,customer1163@example.com,1163,2026-08-24,ORD10808,2026-05-02T21:38:46,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,65.56
Books,web,RO,EUR,customer1163@example.com,1163,2026-08-24,ORD10808,2026-05-02T21:38:46,Atomic Habits (RO ed.),2,SKU-BK-001,completed,20.68
Fashion,web,RO,EUR,customer1867@example.com,1867,2026-09-03,ORD12206,20/02/2026 18:40,Running Shoes Pro,2,SKU-FA-003,completed,82.51
Books,web,RO,EUR,customer1867@example.com,1867,2026-09-03,ORD12206,20/02/2026 18:40,The Pragmatic Programmer,3,SKU-BK-002,completed,43.81
Beauty,web,DE,RON,customer1614@example.com,1614,2026-08-29,ORD13888,1778545778,Vitamin C Serum 30ml,1,SKU-BE-001,completed,27.36
Fashion,web,RO,RON,customer1143@example.com,1143,2026-08-29,ORD13757,06/04/2026 19:35,Running Shoes Pro,1,SKU-FA-003,completed,90.51
Sports,web,RO,RON,customer1143@example.com,1143,2026-08-29,ORD13757,06/04/2026 19:35,Adjustable Dumbbell Set,1,SKU-SP-002,completed,190.65
Beauty,marketplace,RO,EUR,customer1827@example.com,1827,2026-09-02,ORD13777,2026-03-24T18:36:19,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,58.75
Home & Kitchen,web,BG,EUR,customer1251@example.com,1251,2026-08-28,ORD13931,2026-05-25T04:45:27,Stainless Steel Kettle,1,SKU-HK-001,completed,38.5
Electronics,mobile_app,RO,EUR,customer1137@example.com,1137,2026-08-26,ORD11056,2026-02-15T09:22:24,Wireless Earbuds X2,2,SKU-EL-001,completed,84.81
Electronics,mobile_app,RO,RON,customer1370@example.com,1370,2026-08-24,ORD13932,1779310425,Wireless Earbuds X2,1,SKU-EL-001,completed,72.29
Home & Kitchen,mobile_app,RO,RON,customer1370@example.com,1370,2026-08-24,ORD13932,1779310425,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,30.53
Electronics,mobile_app,RO,RON,customer1370@example.com,1370,2026-08-24,ORD13932,1779310425,4K Action Camera,1,SKU-EL-004,completed,181.04
Fashion,web,RO,EUR,customer650@example.com,650,2026-08-30,ORD10211,29/05/2026 21:16,Men's Slim Fit Jeans,1,SKU-FA-001,completed,57.52
Books,web,RO,EUR,customer650@example.com,650,2026-08-30,ORD10211,29/05/2026 21:16,The Pragmatic Programmer,2,SKU-BK-002,completed,47.75
Home & Kitchen,marketplace,RO,EUR,customer948@example.com,948,2026-09-02,ORD13216,2026-06-06T15:15:08,Non-stick Frying Pan 28cm,3,SKU-HK-002,completed,31.17
Beauty,marketplace,RO,EUR,customer948@example.com,948,2026-09-02,ORD13216,2026-06-06T15:15:08,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,70.28
Beauty,marketplace,RO,RON,customer541@example.com,541,2026-08-24,ORD10739,28/05/2026 09:31,Vitamin C Serum 30ml,1,SKU-BE-001,completed,23.13
Electronics,web,RO,EUR,customer1399@example.com,1399,2026-08-28,ORD15734,2026-04-04T10:21:37,4K Action Camera,2,SKU-EL-004,completed,171.26
Sports,web,BG,RON,customer1821@example.com,1821,2026-08-30,ORD11315,2026-05-21T21:14:59,Yoga Mat Premium,1,SKU-SP-001,completed,32.28
Electronics,web,BG,RON,customer1821@example.com,1821,2026-08-30,ORD11315,2026-05-21T21:14:59,Wireless Earbuds X2,3,SKU-EL-001,completed,86.81
Fashion,web,RO,EUR,customer1621@example.com,,2026-08-24,ORD12555,1780624719,Women's Wool Coat,2,SKU-FA-002,completed,158.52
Home & Kitchen,web,RO,EUR,customer1621@example.com,1621,2026-08-24,ORD12555,1780624719,Air Fryer 5L,1,SKU-HK-003,completed,116.74
Fashion,web,RO,EUR,customer1621@example.com,,2026-08-24,ORD12555,1780624719,Women's Wool Coat,2,SKU-FA-002,completed,158.52
Electronics,web,RO,EUR,customer1668@example.com,1668,2026-08-29,ORD14384,2026-04-02T20:20:39,4K Action Camera,1,SKU-EL-004,refunded,195.29
Books,marketplace,RO,EUR,customer1365@example.com,1365,2026-08-23,ORD15545,2026-01-23T19:38:01,The Pragmatic Programmer,1,SKU-BK-002,completed,46.33
Electronics,web,BG,EUR,customer1208@example.com,1208,2026-08-24,ORD15932,2026-04-22T22:23:27,Wireless Earbuds X2,2,SKU-EL-001,completed,74.93
Fashion,web,BG,EUR,customer1208@example.com,1208,2026-08-24,ORD15932,2026-04-22T22:23:27,Women's Wool Coat,2,SKU-FA-002,completed,155.03
Electronics,web,BG,EUR,customer1208@example.com,1208,2026-08-24,ORD15932,2026-04-22T22:23:27,4K Action Camera,2,SKU-EL-004,completed,203.41
Books,web,BG,EUR,customer1361@example.com,1361,2026-08-24,ORD15200,05/06/2026 19:40,The Pragmatic Programmer,2,SKU-BK-002,completed,46.83
Electronics,web,BG,EUR,customer1361@example.com,1361,2026-08-24,ORD15200,05/06/2026 19:40,Bluetooth Speaker Mini,1,SKU-EL-003,completed,44.1
Sports,mobile_app,RO,EUR,customer1858@example.com,1858,2026-09-02,ORD12046,2026-06-09T19:06:08,Adjustable Dumbbell Set,1,SKU-SP-002,completed,174.92
Sports,mobile_app,RO,EUR,customer1858@example.com,1858,2026-09-02,ORD12046,2026-06-09T19:06:08,Adjustable Dumbbell Set,1,SKU-SP-002,completed,174.92
Books,mobile_app,RO,EUR,customer1858@example.com,1858,2026-09-02,ORD12046,2026-06-09T19:06:08,Atomic Habits (RO ed.),1,SKU-BK-001,completed,19.45
Books,web,HU,EUR,customer1591@example.com,1591,2026-09-03,ORD15530,2026-03-25T06:25:07,The Pragmatic Programmer,1,SKU-BK-002,completed,44.86
Beauty,web,HU,EUR,customer1591@example.com,1591,2026-09-03,ORD15530,2026-03-25T06:25:07,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,68.05
Home & Kitchen,marketplace,RO,EUR,customer187@example.com,187,2026-08-31,ORD14055,2026-06-06T19:04:36,Air Fryer 5L,1,SKU-HK-003,completed,124.56
Electronics,web,RO,EUR,customer1608@example.com,1608,2026-09-01,ORD13918,29/06/2026 00:45,4K Action Camera,1,SKU-EL-004,completed,200.1
Sports,mobile_app,RO,EUR,customer565@example.com,565,2026-08-30,ORD11932,2026-02-24T16:56:06,Yoga Mat Premium,1,SKU-SP-001,completed,29.85
Electronics,web,RO,EUR,customer1578@example.com,1578,2026-09-01,ORD10130,1776702114,4K Action Camera,1,SKU-EL-004,completed,201.83
Home & Kitchen,marketplace,RO,RON,customer1521@example.com,1521,2026-08-29,ORD15619,2026-06-13T07:42:14,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,31.17
Beauty,web,RO,EUR,customer1381@example.com,1381,2026-08-27,ORD14897,11/01/2026 15:20,Vitamin C Serum 30ml,1,SKU-BE-001,completed,22.98
Electronics,web,RO,EUR,customer1381@example.com,1381,2026-08-27,ORD14897,11/01/2026 15:20,USB-C Fast Charger 65W,2,SKU-EL-002,completed,32
Books,mobile_app,RO,EUR,customer174@example.com,174,2026-08-23,ORD14864,2026-02-10T07:12:38,Atomic Habits (RO ed.),1,SKU-BK-001,refunded,21.73
Home & Kitchen,marketplace,BG,EUR,customer918@example.com,918,2026-08-24,ORD15285,1769582489,Non-stick Frying Pan 28cm,2,SKU-HK-002,completed,27.13
Home & Kitchen,web,RO,EUR,customer819@example.com,819,2026-08-28,ORD11040,2026-03-19T00:17:37,Air Fryer 5L,1,SKU-HK-003,refunded,123.4
Beauty,web,RO,EUR,customer30@example.com,30,2026-08-24,ORD10436,2026-01-13T13:46:08,Vitamin C Serum 30ml,2,SKU-BE-001,completed,24.31
Electronics,web,RO,EUR,customer30@example.com,30,2026-08-24,ORD10436,2026-01-13T13:46:08,4K Action Camera,1,SKU-EL-004,completed,188.95
Sports,marketplace,RO,RON,customer1255@example.com,1255,2026-09-03,ORD11560,2026-03-28T18:07:57,Adjustable Dumbbell Set,1,SKU-SP-002,completed,160.73
Home & Kitchen,web,RO,EUR,customer1311@example.com,1311,2026-09-02,ORD12127,17/06/2026 18:09,Stainless Steel Kettle,1,SKU-HK-001,completed,43.89
Books,web,RO,EUR,customer1769@example.com,1769,2026-08-24,ORD11341,2026-01-08T06:01:46,The Pragmatic Programmer,1,SKU-BK-002,completed,42.55
Electronics,web,RO,EUR,customer1810@example.com,1810,2026-09-01,ORD13826,2026-06-21T06:12:21,Bluetooth Speaker Mini,2,SKU-EL-003,completed,52.43
Fashion,web,RO,RON,customer980@example.com,980,2026-08-25,ORD13811,2026-01-08T07:06:30,Women's Wool Coat,1,SKU-FA-002,completed,136.92
Sports,web,RO,RON,customer980@example.com,980,2026-08-25,ORD13811,2026-01-08T07:06:30,Yoga Mat Premium,1,SKU-SP-001,completed,30.89
Fashion,web,RO,EUR,customer1448@example.com,1448,2026-08-29,ORD12742,2026-06-03T04:15:32,Women's Wool Coat,1,SKU-FA-002,completed,159.01
Sports,web,RO,EUR,customer1448@example.com,,2026-08-29,ORD12742,2026-06-03T04:15:32,Adjustable Dumbbell Set,1,SKU-SP-002,completed,178.21
Fashion,web,RO,EUR,customer1330@example.com,1330,2026-08-31,ORD13665,18/04/2026 08:42,Men's Slim Fit Jeans,1,SKU-FA-001,completed,52.46
Home & Kitchen,marketplace,RO,RON,customer1531@example.com,1531,2026-08-24,ORD12143,2026-02-25T21:34:09,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,26.48
Fashion,marketplace,RO,RON,customer1531@example.com,1531,2026-08-24,ORD12143,2026-02-25T21:34:09,Men's Slim Fit Jeans,2,SKU-FA-001,completed,52.97
Beauty,marketplace,RO,RON,customer1531@example.com,1531,2026-08-24,ORD12143,2026-02-25T21:34:09,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,59.49
Electronics,web,RO,EUR,customer1786@example.com,1786,2026-09-02,ORD15336,2026-06-22T07:43:51,Wireless Earbuds X2,2,SKUEL001,completed,87.85
Home & Kitchen,web,RO,EUR,customer1786@example.com,1786,2026-09-02,ORD15336,2026-06-22T07:43:51,Stainless Steel Kettle,1,SKU-HK-001,completed,45.11
Home & Kitchen,web,DE,EUR,customer501@example.com,501,2026-08-29,ORD11808,2026-06-23T16:02:32,Air Fryer 5L,1,SKU-HK-003,completed,110.09
Books,web,RO,EUR,customer1208@example.com,1208,2026-09-01,ORD13484,2026-05-11T15:16:04,Atomic Habits (RO ed.),1,SKU-BK-001,completed,18.67
Fashion,web,RO,EUR,customer1208@example.com,1208,2026-09-01,ORD13484,2026-05-11T15:16:04,Men's Slim Fit Jeans,1,SKU-FA-001,completed,49.65
